Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C3048;Pueyrredon 1465;Santa Cruz y La Pampa;60 Reg - 62 Reg - 63 Reg - 64 Reg - 67 Reg -;-31,421659;-64,207422
C3050;Pueyrredon 1177;Paraguay y Paso de los Andes;60 Reg - 62 Reg - 63 Reg - 64 Reg - 67 Reg -;-31,422932;-64,203501
C3052;Funes 1039;Paso de los Andes y Mariano Moreno;60 Reg - 62 Reg - 67 Reg -;-31,424525;-64,202428
C3054;24 de Setiembre 770;Ocampo y Ovidio Lagos;60 Reg - 61 Reg - 62 Reg - 63 Reg - 64 Reg - 65 Reg - 66 Ida - 68 Reg -;-31,415636;-64,172555
C3056;24 de Setiembre 980;Esquiu y Felix Frias;60 Reg - 61 Reg - 62 Reg - 63 Reg - 64 Reg - 66 Ida - 68 Reg -;-31,414849;-64,170173
C3058;24 de Setiembre 1150;David Luque y Pringles;60 Reg - 62 Reg - 64 Reg - 66 Ida - 68 Reg -;-31,414362;-64,168106
C3060;24 de Setiembre 1372;Jacinto Rios y Viamonte;60 Reg - 62 Reg - 64 Reg - 66 Ida - 68 Reg -;-31,413703;-64,165456
C3062;Roma 450;Pje. Juan Galiano y Pje. Manuel Soria;60 Reg - 62 Reg -;-31,410828;-64,164362
C3064;Roma 630;Oncativo y Libertad;60 Reg - 62 Reg -;-31,408566;-64,165199
C3066;Roma 1070;Juan de Garay y Buchardo;60 Reg - 62 Reg -;-31,404674;-64,166679
C3068;Roma 1272;Charcas y Cochabamba;60 Reg - 62 Reg -;-31,401918;-64,167699
C3070;Roma 1500;Padre Luis Monti y Suipacha;60 Reg - 63 Reg -;-31,400059;-64,168385
C3072;Bulnes 1692;Deeza y Nores;60 Reg - 63 Reg -;-31,398584;-64,167291
C3074;Bulnes 1898;Janer y Mejico;60 Reg - 63 Reg -;-31,397559;-64,164163
C3076;Bulnes 2192;Patria y Garibaldi;60 Reg - 63 Reg - 66 Ida -;-31,396373;-64,160424
C3078;Malvinas 1050;Aragon y Punta del Sauce;60 Reg - 63 Reg - 66 Ida -;-31,395379;-64,158595
C3080;Malvinas 1259;Juan XXIII y Carlos III;60 Reg - 66 Ida -;-31,394226;-64,154996
